"selection1_name","selection1_url"
"Bachelor of Business Administration","https://nu.edu.pk/Program/BBA"
"Bachelor of Science (Accounting and Finance)","https://nu.edu.pk/Program/BS(AF)"
"Bachelor of Science (Artificial Intelligence)","https://nu.edu.pk/Program/BS(AI)"
"Bachelor of Science (Business Analytics)","https://nu.edu.pk/Program/BS(BA)"
"Bachelor of Science (Civil Engineering)","https://nu.edu.pk/Program/BS(CV)"
"Bachelor of Science (Computer Science)","https://nu.edu.pk/Program/BS(CS)"
"Bachelor of Science (Cyber Security)","https://nu.edu.pk/Program/BS(CY)"
"Bachelor of Science (Data Science)","https://nu.edu.pk/Program/BS(DS)"
"Bachelor of Science (Electrical Engineering)","https://nu.edu.pk/Program/BS(EE)"
"Bachelor of Science (Financial Technologies)","https://nu.edu.pk/Program/BS(FinTech)"
"Bachelor of Science (Software Engineering)","https://nu.edu.pk/Program/BS(SE)"
"Master of Business Administration","https://nu.edu.pk/Program/MBA"
"Master of Science (Applied Linguistics)","https://nu.edu.pk/Program/MS(LING)"
"Master of Science (Artificial Intelligence)","https://nu.edu.pk/Program/MS(AI)"
"Master of Science (Business Analytics)","https://nu.edu.pk/Program/MS(BA)"
"Master of Science (Civil Engineering)","https://nu.edu.pk/Program/MS(CV)"
"Master of Science (Computer Networks and Security)","https://nu.edu.pk/Program/MS(CNS)"
"Master of Science (Computer Science)","https://nu.edu.pk/Program/MS(CS)"
"Master of Science (Data Science)","https://nu.edu.pk/Program/MS(DS)"
"Master of Science (Electrical Engineering)","https://nu.edu.pk/Program/MS(EE)"
"Master of Science (Management Sciences)","https://nu.edu.pk/Program/MS(MS)"
"Master of Science (Mathematics)","https://nu.edu.pk/Program/MS(Math)"
"Master of Science (Software Engineering)","https://nu.edu.pk/Program/MS(SE)"
"Master of Science (Software Project Management)","https://nu.edu.pk/Program/MS(SPM)"
"Doctor of Philosophy (Civil Engineering)","https://nu.edu.pk/Program/PhD(CV)"
"Doctor of Philosophy (Computer Science)","https://nu.edu.pk/Program/PhD(CS)"
"Doctor of Philosophy (Electrical Engineering)","https://nu.edu.pk/Program/PhD(EE)"
"Doctor of Philosophy (Management Sciences)","https://nu.edu.pk/Program/PhD(MS)"
"Doctor of Philosophy (Mathematics)","https://nu.edu.pk/Program/PhD(Math)"
"Doctor of Philosophy (Software Engineering)","https://nu.edu.pk/Program/PhD(SE)"